station,date,prcp,tobs
USC00519397,01/01/10,0.08,65
USC00519397,01/02/10,0,63
USC00519397,01/03/10,0,74
USC00519397,01/04/10,0,76
USC00519397,01/06/10,,73
USC00519397,01/07/10,0.06,70
USC00519397,01/08/10,0,64
USC00519397,01/09/10,0,68
USC00519397,01/10/10,0,73
USC00519397,01/11/10,0.01,64
USC00519397,01/12/10,0,61
USC00519397,01/14/10,0,66
USC00519397,01/15/10,0,65
USC00519397,01/16/10,0,68
USC00519397,01/17/10,0,64
USC00519397,01/18/10,0,72
USC00519397,01/19/10,0,66
USC00519397,01/20/10,0,66
USC00519397,01/21/10,0,69
USC00519397,01/22/10,0,67
USC00519397,01/23/10,0,67
USC00519397,01/24/10,0.01,71
USC00519397,01/25/10,0,67
USC00519397,01/26/10,0.04,76
USC00519397,01/27/10,0.12,68
USC00519397,01/28/10,0,72
USC00519397,01/30/10,,70
USC00519397,01/31/10,0.03,67
USC00519397,02/01/10,0.01,66
USC00519397,02/03/10,,67
USC00519397,02/04/10,0.01,69
USC00519397,02/05/10,0,67
USC00519397,02/06/10,0,67
USC00519397,02/07/10,0,64
USC00519397,02/08/10,0,69
USC00519397,02/09/10,0,73
USC00519397,02/11/10,0,73
USC00519397,02/12/10,0.02,69
USC00519397,02/13/10,0.01,69
USC00519397,02/14/10,0,69
USC00519397,02/15/10,0,71
USC00519397,02/16/10,0,61
USC00519397,02/17/10,0,69
USC00519397,02/19/10,,63
USC00519397,02/20/10,0.03,64
USC00519397,02/21/10,0,65
USC00519397,02/22/10,0,67
USC00519397,02/23/10,0,68
USC00519397,02/24/10,0,65
USC00519397,02/25/10,0,76
USC00519397,02/26/10,0,75
USC00519397,02/28/10,0,66
USC00519397,03/01/10,0.01,70
USC00519397,03/02/10,0,72
USC00519397,03/03/10,0,73
USC00519397,03/04/10,0.12,70
USC00519397,03/05/10,0.08,71
USC00519397,03/06/10,0.03,72
USC00519397,03/07/10,0,72
USC00519397,03/08/10,0.43,69
USC00519397,03/09/10,0.06,70
USC00519397,03/11/10,,73
USC00519397,03/12/10,0,72
USC00519397,03/13/10,0,73
USC00519397,03/14/10,0,70
USC00519397,03/15/10,0.06,71
USC00519397,03/17/10,0,68
USC00519397,03/18/10,0,70
USC00519397,03/21/10,0,72
USC00519397,03/22/10,0,69
USC00519397,03/23/10,0,68
USC00519397,03/24/10,0,74
USC00519397,03/26/10,,72
USC00519397,03/27/10,0,72
USC00519397,03/28/10,0,73
USC00519397,03/29/10,0,74
USC00519397,03/30/10,0,73
USC00519397,03/31/10,0,73
USC00519397,04/01/10,0,74
USC00519397,04/02/10,0.01,74
USC00519397,04/03/10,0.17,74
USC00519397,04/04/10,0.15,71
USC00519397,04/05/10,0.27,72
USC00519397,04/06/10,0.01,75
USC00519397,04/08/10,0,75
USC00519397,04/09/10,0.01,75
USC00519397,04/10/10,0,75
USC00519397,04/11/10,0.01,73
USC00519397,04/12/10,0.01,73
USC00519397,04/13/10,0,71
USC00519397,04/15/10,0,71
USC00519397,04/16/10,0.01,68
USC00519397,04/17/10,0,70
USC00519397,04/18/10,0,71
USC00519397,04/19/10,0,74
USC00519397,04/20/10,0.04,71
USC00519397,04/21/10,0.01,75
USC00519397,04/22/10,0,76
USC00519397,04/23/10,0.02,75
USC00519397,04/24/10,0,75
USC00519397,04/25/10,0,76
USC00519397,04/26/10,0,76
USC00519397,04/28/10,0,76
USC00519397,04/30/10,0,77
USC00519397,05/01/10,0,77
USC00519397,05/02/10,0.03,73
USC00519397,05/03/10,0.2,74
USC00519397,05/04/10,0.08,76
USC00519397,05/05/10,0.01,76
